F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\admin\domain\models\AdminModels.ts: line 43, col 29, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\admin\services\implementations\AdminChallengeService.ts: line 109, col 20, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\animate\services\implementations\AnimatedImageTranscoder.ts: line 10, col 24, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\animate\services\implementations\SequenceNormalizationService.ts: line 33, col 22, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\animate\services\implementations\SequenceNormalizationService.ts: line 36, col 37, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\animate\services\implementations\TrailCaptureService.ts: line 55, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\animate\utils\sequence-loader.ts: line 74, col 24, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\animate\utils\sequence-loader.ts: line 78, col 41, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\assemble\handpath-builder\services\implementations\PathToMotionConverter.ts: line 48, col 40, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\assemble\handpath-builder\services\implementations\PathToMotionConverter.ts: line 49, col 35, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\construct\option-picker\services\contracts\ILayoutDetectionService.ts: line 13, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\circular\services\contracts\IPartialSequenceGenerator.ts: line 20, col 15, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\circular\services\contracts\IPartialSequenceGenerator.ts: line 21, col 13, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\circular\services\contracts\IPartialSequenceGenerator.ts: line 22, col 16, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\shared\services\contracts\ICardConfigurationService.ts: line 12, col 25, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\shared\services\contracts\ICardConfigurationService.ts: line 26, col 32, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\shared\services\contracts\ICardConfigurationService.ts: line 27, col 38, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\shared\services\contracts\ICardConfigurationService.ts: line 28, col 34, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\shared\services\contracts\ICardConfigurationService.ts: line 29, col 38, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\shared\services\contracts\ISequenceMetadataService.ts: line 7, col 36, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\shared\services\contracts\ISequenceMetadataService.ts: line 15, col 22, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\shared\services\implementations\GenerationOrchestrationService.ts: line 135, col 37, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\shared\services\implementations\GenerationOrchestrationService.ts: line 164, col 41, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\shared\services\implementations\GenerationOrchestrationService.ts: line 168, col 45, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\shared\services\implementations\GenerationOrchestrationService.ts: line 221, col 37, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\shared\services\implementations\SequenceMetadataService.ts: line 41, col 22, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\generate\shared\services\implementations\SequenceMetadataService.ts: line 98, col 22, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
F:\_THE KINETIC ALPHABET\_TKA-STUDIO\src\lib\modules\create\record\services\MetronomeService.ts: line 26, col 20, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
